name;open;high;low;close;volume;marketCap;timestamp
"2781";4.0037040106;4.0805682709;3.7586738619;3.8933984723;50151073.05;254839223.89;"2023-10-09T00:00:00.000Z"
"2781";3.8930558545;4.2229514384;3.7463063339;4.2042633517;27345150.83;275186631.22;"2023-10-16T00:00:00.000Z"
"2781";4.2382887213;5.3042873831;4.1075110286;5.2335415513;61588104.78;342557196.91;"2023-10-23T00:00:00.000Z"
"2781";5.2327275528;7.1606705324;5.1225319368;6.6510900489;117933826.6;435341678.52;"2023-10-30T00:00:00.000Z"
"2781";6.6512715787;7.9816511042;6.5670482231;7.3023646089;126572243.5;477970324.06;"2023-11-06T00:00:00.000Z"
"2781";7.3057082302;9.1834839452;6.7665436491;9.0954349893;164140087.48;595334284.45;"2023-11-13T00:00:00.000Z"
"2781";9.0952585487;9.2584613323;7.1851097285;7.7185004679;111143027.88;505208157.55;"2023-11-20T00:00:00.000Z"
"2781";7.7175385192;8.640761419;7.1608793918;8.0407019445;94521431.69;526297592.61;"2023-11-27T00:00:00.000Z"
"2781";8.0415999473;8.8804465604;7.8477067464;8.3283271609;137656859.5;545123866.74;"2023-12-04T00:00:00.000Z"
"2781";8.3217584303;11.6463635995;7.4722690374;9.403233522;307474872.23;615480986.55;"2023-12-11T00:00:00.000Z"
"2781";9.3976230373;11.4850970824;8.5081756702;10.8095827977;277515232.41;707532432.22;"2023-12-18T00:00:00.000Z"
"2781";10.8097661334;11.1363369913;9.4588184163;9.6488327023;204223977.67;631556480.74;"2023-12-25T00:00:00.000Z"
"2781";9.6438387214;10.4898869439;7.9252714595;8.0362055036;234994815.81;526003281.74;"2024-01-01T00:00:00.000Z"
"2781";8.0395670573;10.8251384555;7.5773540603;10.1107284734;231437063.94;661789491.99;"2024-01-08T00:00:00.000Z"
"2781";10.110039905;10.6622402473;9.1851122937;9.4217868282;173239343.42;616695378.09;"2024-01-15T00:00:00.000Z"
"2781";9.4277669873;9.521804163;8.133063528;8.7617790299;119425101.21;573495105.56;"2024-01-22T00:00:00.000Z"
"2781";8.7599449745;9.0020907085;8.2286751846;8.4379929215;85493845.14;552301949.72;"2024-01-29T00:00:00.000Z"
"2781";8.4362518437;8.9109641959;7.7709137934;8.6492383002;94799195.31;566128843.82;"2024-02-05T00:00:00.000Z"
"2781";8.6498376327;13.4600035845;8.5111454058;11.9670083047;265940954.46;783290775.48;"2024-02-12T00:00:00.000Z"
"2781";11.9661167676;16.4502863798;11.8755871849;15.7556816179;493977145.84;1031275299.43;"2024-02-19T00:00:00.000Z"
"2781";15.7356358135;33.1311511033;15.0041394603;30.2106064594;1699944593.65;1977410624.16;"2024-02-26T00:00:00.000Z"
"2781";30.2177279084;47.4967472508;23.2567482826;41.3351184127;1377415717.24;2705578354.23;"2024-03-04T00:00:00.000Z"
"2781";41.3354524882;42.6261505919;31.5797946541;37.6124504975;883423027.18;2461892293.17;"2024-03-11T00:00:00.000Z"
"2781";37.6124504975;38.893080029;29.3400494693;37.5237748328;638802246.87;2456088099.81;"2024-03-18T00:00:00.000Z"
"2781";37.5237748328;46.3708934339;37.0541375028;38.7935196599;720665656.26;2539192270.56;"2024-03-25T00:00:00.000Z"
"2781";38.7934288778;39.2319012939;30.6364193965;33.8465840645;360142333.03;2215400574.98;"2024-04-01T00:00:00.000Z"
"2781";33.8465840645;35.587724942;22.2313872835;28.5005311827;704270431.42;1865479040.64;"2024-04-08T00:00:00.000Z"
"2781";28.5005311827;34.5348823977;22.7191951283;32.7856323282;616881784.18;2145956843.76;"2024-04-15T00:00:00.000Z"
"2781";32.7856323282;37.8764556175;29.5817424475;35.8804470876;736153183.11;2348525421.56;"2024-04-22T00:00:00.000Z"
"2781";35.8804470876;41.407549681;26.5405718207;40.5991024595;1175700357.26;2657378145.01;"2024-04-29T00:00:00.000Z"
"2781";40.5990563476;44.9421632408;36.1720187696;41.9537197127;1057469409.76;2746046531.52;"2024-05-06T00:00:00.000Z"
"2781";41.9537197127;49.1271468041;37.4475091117;48.0478396789;957367079.08;3144932187.2;"2024-05-13T00:00:00.000Z"
"2781";48.0478396789;49.417556279;38.2557225996;38.4529353394;774588265.3;2516905543.5;"2024-05-20T00:00:00.000Z"
"2781";38.4529353394;46.5735904144;36.8628454464;43.4415764852;802540628.89;2843432983.96;"2024-05-27T00:00:00.000Z"
"2781";43.4415764852;46.4052736058;35.1654386859;37.6753945978;560880997.48;2473482562.88;"2024-06-03T00:00:00.000Z"
"2781";37.6747617511;38.3272377366;27.7200531351;28.5768294572;692374649.41;1876139324.33;"2024-06-10T00:00:00.000Z"
